CompanyID,CompanyName,Industry,Region,Revenue_WMA,Revenue_std,Revenue_cv,Revenue_slope,ProfitMargin_WMA,ProfitMargin_std,ProfitMargin_cv,ProfitMargin_slope,MarketCap_WMA,MarketCap_std,MarketCap_cv,MarketCap_slope,GrowthRate_WMA,GrowthRate_std,GrowthRate_cv,GrowthRate_slope,ESG_Overall_WMA,ESG_Overall_std,ESG_Overall_cv,ESG_Overall_slope,PriceToSales,NetIncome,PriceToEarnings,Risk-AdjustedGrowth,Earnings-to-Growth,ESG_Signal-to-Noise,TARGET_SCORE
38,Company_38,Energy,Africa,942.92,98.11,0.1,59.46,3.35,4.75,1.42,-2.71,417.51,346.17,0.83,-182.38,7.62,5.85,0.77,-2.1,40.77,1.86,0.05,1.03,0.44,31.59,13.22,1.3,10.15,20.6,29.3
39,Company_39,Transportation,Latin America,2040.6,403.7,0.2,254.91,7.29,2.41,0.33,1.13,1977.16,750.39,0.38,404.01,13.89,3.72,0.27,1.06,52.12,2.3,0.04,1.44,0.97,148.76,13.29,3.73,3.56,36.0,31.73
40,Company_40,Transportation,Oceania,3679.25,366.26,0.1,224.41,1.63,1.54,0.94,0.32,2583.71,2897.75,1.12,335.03,6.31,6.66,1.06,1.48,57.14,1.22,0.02,0.69,0.7,59.97,43.08,0.95,45.47,34.5,44.9
41,Company_41,Energy,North America,7806.76,277.51,0.04,108.36,10.83,2.9,0.27,-1.43,10323.93,5795.03,0.56,-1442.78,-0.01,4.99,-373.89,0.01,60.14,2.06,0.03,1.29,1.32,845.47,12.21,-0.0,-6093.21,43.0,31.54
42,Company_42,Energy,North America,1007.72,101.82,0.1,-46.95,-1.33,2.63,-1.98,1.16,2504.51,2269.26,0.91,5.54,-2.03,8.93,-4.41,3.86,48.51,0.9,0.02,0.31,2.49,-13.4,-186.87,-0.23,822.03,15.5,41.39
43,Company_43,Transportation,Europe,381.15,23.8,0.06,14.44,-1.91,0.88,-0.46,0.1,1362.87,442.88,0.32,186.23,2.46,6.46,2.62,2.31,42.93,1.06,0.02,-0.43,3.58,-7.28,-187.21,0.38,-491.61,-21.5,36.0
44,Company_44,Healthcare,Oceania,11117.9,575.86,0.05,321.27,32.83,1.56,0.05,0.91,63354.45,19707.23,0.31,2365.91,3.36,4.21,1.25,0.9,58.51,1.74,0.03,1.06,5.7,3650.01,17.36,0.8,21.75,35.33,77.08
45,Company_45,Retail,Africa,651.74,34.64,0.05,8.76,-1.67,1.17,-0.7,-0.32,2156.82,1367.97,0.63,689.16,3.88,7.3,1.88,0.54,46.47,2.65,0.06,1.49,3.31,-10.88,-198.16,0.53,-372.83,24.83,30.05
46,Company_46,Healthcare,Middle East,11026.27,950.43,0.09,562.1,17.9,0.94,0.05,-0.09,32437.96,9716.93,0.3,5687.97,5.88,6.2,1.05,-0.78,54.95,1.48,0.03,0.86,2.94,1973.7,16.44,0.95,17.33,28.67,57.53
47,Company_47,Consumer Goods,Africa,280.43,23.02,0.08,13.79,-4.69,2.91,-0.62,-1.58,955.08,510.13,0.53,137.4,6.26,3.93,0.63,0.24,61.92,2.6,0.04,1.53,3.41,-13.15,-72.62,1.59,-45.59,38.25,33.49
48,Company_48,Technology,Latin America,3953.28,647.45,0.16,400.83,22.61,3.04,0.13,0.88,24617.31,6549.22,0.27,3519.98,10.56,6.7,0.63,0.63,51.73,0.25,0.0,0.05,6.23,893.84,27.54,1.58,17.47,inf,74.1
49,Company_49,Retail,Middle East,533.06,56.86,0.11,34.8,8.89,1.87,0.21,-0.98,946.63,253.24,0.27,5.24,7.48,4.13,0.55,0.72,19.2,0.69,0.04,0.33,1.78,47.39,19.98,1.81,11.03,8.25,45.17
50,Company_50,Consumer Goods,North America,1835.63,346.84,0.19,214.39,26.65,1.13,0.04,0.71,8853.97,1695.03,0.19,818.96,11.03,9.88,0.9,0.29,68.01,1.29,0.02,0.77,4.82,489.2,18.1,1.12,16.21,38.5,72.73
51,Company_51,Transportation,Middle East,252.45,40.84,0.16,25.04,-0.07,3.06,-45.9,-1.72,239.09,244.27,1.02,93.07,10.17,8.25,0.81,-2.77,49.54,0.61,0.01,0.03,0.95,-0.18,-1352.97,1.23,-1097.54,3.0,13.48
52,Company_52,Consumer Goods,Oceania,2051.93,276.09,0.13,167.06,14.43,1.75,0.12,-0.73,4215.05,641.48,0.15,239.15,9.8,5.62,0.57,2.28,67.6,1.05,0.02,0.66,2.05,296.09,14.24,1.74,8.16,33.0,49.36
53,Company_53,Utilities,North America,713.41,61.56,0.09,-37.57,7.56,1.32,0.17,0.33,711.35,94.02,0.13,15.77,-3.8,3.73,-0.98,-0.6,72.99,0.99,0.01,-0.44,1.0,53.93,13.19,-1.02,-12.95,-44.0,24.81
54,Company_54,Healthcare,Oceania,9811.81,2084.55,0.21,1297.81,23.55,2.95,0.13,-1.39,36688.12,5458.87,0.15,422.97,13.76,8.01,0.58,0.24,66.86,1.35,0.02,0.69,3.74,2310.68,15.88,1.72,9.24,34.5,64.67
55,Company_55,Finance,Latin America,647.91,43.95,0.07,-4.93,11.55,1.08,0.09,0.56,911.71,170.5,0.19,-53.78,-3.2,8.99,-2.81,-1.29,76.64,1.64,0.02,0.99,1.41,74.83,12.18,-0.36,-34.23,49.5,42.56
56,Company_56,Utilities,North America,695.5,19.25,0.03,-0.81,10.47,0.91,0.09,0.44,940.57,214.59,0.23,91.3,0.3,3.86,12.87,2.25,59.17,1.73,0.03,-1.0,1.35,72.82,12.92,0.08,166.19,-33.33,47.67
57,Company_57,Utilities,Middle East,1043.29,90.74,0.09,51.79,-3.76,2.06,-0.55,0.06,2108.92,1395.3,0.66,278.73,3.71,7.71,2.08,1.22,32.11,2.68,0.08,1.61,2.02,-39.23,-53.76,0.48,-111.72,20.12,26.16
58,Company_58,Transportation,Oceania,686.09,79.02,0.12,48.94,1.41,2.86,2.04,-1.25,575.33,406.03,0.71,140.77,6.9,5.84,0.85,-0.39,42.25,0.46,0.01,-0.01,0.84,9.67,59.47,1.18,50.34,-1.0,35.11
59,Company_59,Utilities,Africa,706.03,43.99,0.06,-21.73,14.42,1.41,0.1,0.69,1084.95,183.62,0.17,-50.0,-4.9,6.35,-1.3,0.21,36.45,1.16,0.03,0.7,1.54,101.81,10.66,-0.77,-13.81,23.33,41.64
60,Company_60,Manufacturing,Middle East,1164.05,62.84,0.05,19.69,11.39,3.27,0.29,-1.97,1865.76,1026.3,0.55,-555.78,2.23,7.77,3.48,1.7,31.59,1.19,0.04,0.43,1.6,132.59,14.07,0.29,49.03,10.75,34.4
61,Company_61,Consumer Goods,Oceania,2731.27,234.38,0.09,147.97,4.88,2.79,0.57,-1.74,2275.62,1685.53,0.74,-1049.67,6.39,3.59,0.56,-1.73,82.05,2.59,0.03,1.36,0.83,133.29,17.07,1.78,9.59,45.33,34.5
62,Company_62,Technology,Asia,7936.37,1559.57,0.2,985.72,26.96,1.62,0.06,0.57,45275.47,11475.22,0.25,6529.46,14.17,3.08,0.22,-1.67,61.28,0.67,0.01,0.33,5.7,2139.65,21.16,4.6,4.6,33.0,62.21
63,Company_63,Consumer Goods,Europe,1201.57,99.32,0.08,60.59,20.82,2.38,0.11,1.23,5069.25,1916.38,0.38,1085.14,5.01,4.32,0.86,-1.55,71.43,1.71,0.02,1.07,4.22,250.17,20.26,1.16,17.47,53.5,74.49
64,Company_64,Consumer Goods,Asia,1869.85,132.33,0.07,77.41,4.39,1.18,0.27,-0.29,1545.62,447.78,0.29,112.89,5.71,4.99,0.87,-0.46,43.33,2.11,0.05,1.31,0.83,82.09,18.83,1.14,16.45,26.2,39.92
65,Company_65,Transportation,Europe,823.99,26.27,0.03,-3.92,-5.19,3.0,-0.58,-1.82,2630.35,1621.99,0.62,570.44,-0.59,5.26,-8.87,-2.09,69.27,0.92,0.01,0.28,3.19,-42.77,-61.51,-0.11,548.35,28.0,53.78
66,Company_66,Consumer Goods,Middle East,1885.07,178.09,0.09,110.32,25.61,1.31,0.05,-0.5,6239.35,1925.11,0.31,-974.9,5.52,3.25,0.59,-1.02,61.74,1.02,0.02,0.33,3.31,482.77,12.92,1.7,7.61,16.5,52.48
67,Company_67,Manufacturing,Middle East,479.91,21.55,0.04,-8.27,9.18,2.32,0.25,-1.35,714.71,222.45,0.31,-63.41,-0.35,5.46,-15.74,0.23,54.0,1.42,0.03,0.87,1.49,44.06,16.22,-0.06,-253.08,29.0,36.99
68,Company_68,Manufacturing,Middle East,5289.79,738.14,0.14,413.33,23.19,5.84,0.25,3.59,17923.42,6626.57,0.37,3661.2,8.4,11.31,1.35,0.72,59.19,1.1,0.02,0.58,3.39,1226.7,14.61,0.74,19.67,29.0,62.26
69,Company_69,Energy,North America,9226.73,1121.8,0.12,694.19,26.98,4.62,0.17,2.46,34591.53,9476.64,0.27,4142.65,8.67,2.97,0.34,1.61,49.61,2.75,0.06,1.69,3.75,2489.37,13.9,2.92,4.76,28.17,57.27
70,Company_70,Retail,Africa,2128.39,290.22,0.14,175.61,3.3,0.66,0.2,0.15,1481.69,565.88,0.38,274.37,7.94,6.38,0.8,-2.67,46.77,0.7,0.01,0.11,0.7,70.24,21.1,1.24,16.95,11.0,30.05
71,Company_71,Consumer Goods,Latin America,3619.46,453.67,0.13,274.2,10.93,1.66,0.15,-0.74,5550.41,1654.41,0.3,-818.62,8.19,9.22,1.13,2.78,44.12,1.0,0.02,0.06,1.53,395.61,14.03,0.89,15.79,3.0,40.41
72,Company_72,Utilities,Latin America,621.44,33.36,0.05,-4.41,8.66,0.95,0.11,0.54,696.27,121.99,0.18,60.14,-0.37,11.49,-31.34,6.86,43.92,1.14,0.03,0.57,1.12,53.82,12.94,-0.03,-401.77,19.0,20.33
73,Company_73,Transportation,Asia,1597.14,283.37,0.18,168.63,6.92,2.72,0.39,-0.81,1534.42,690.27,0.45,-41.25,10.14,11.02,1.09,0.63,55.91,1.7,0.03,1.07,0.96,110.52,13.88,0.92,15.09,35.67,41.55
74,Company_74,Energy,Europe,2656.3,347.39,0.13,214.14,-2.47,9.45,-3.83,5.54,3752.58,3378.19,0.9,-982.59,9.93,5.04,0.51,0.04,71.51,1.72,0.02,0.94,1.41,-65.61,-57.19,1.97,-29.03,47.0,42.56
75,Company_75,Technology,North America,3994.75,522.64,0.13,300.35,22.38,1.59,0.07,-0.12,23231.32,6013.03,0.26,1136.91,9.85,7.71,0.78,2.3,73.24,1.28,0.02,0.48,5.82,894.03,25.99,1.28,20.34,24.0,63.35
76,Company_76,Technology,North America,16255.87,2104.53,0.13,1139.68,29.43,2.17,0.07,1.12,115798.65,23866.04,0.21,6416.56,10.07,9.84,0.98,5.36,66.88,1.52,0.02,0.84,7.12,4784.1,24.2,1.02,23.65,42.0,76.93
77,Company_77,Utilities,Africa,433.82,24.74,0.06,-6.45,2.88,1.85,0.64,-0.81,133.58,73.38,0.55,-35.94,-0.18,7.99,-44.4,-0.81,68.76,1.79,0.03,1.11,0.31,12.49,10.69,-0.02,-474.58,37.0,31.25
78,Company_78,Technology,Latin America,7511.84,566.72,0.08,96.6,12.54,2.87,0.23,-1.53,16995.17,4479.75,0.26,-2261.75,2.59,11.61,4.48,3.17,48.35,0.76,0.02,0.46,2.26,941.98,18.04,0.22,80.87,23.0,53.94
79,Company_79,Healthcare,North America,9658.45,785.35,0.08,401.15,30.11,3.36,0.11,1.52,50622.59,15643.7,0.31,8951.11,6.28,8.35,1.33,-0.75,65.12,0.32,0.0,-0.15,5.24,2908.16,17.41,0.75,23.14,-inf,64.82
80,Company_80,Utilities,Europe,1326.23,158.29,0.12,99.04,2.9,1.37,0.47,-0.69,520.89,156.05,0.3,-38.02,6.78,7.64,1.13,2.25,69.77,0.76,0.01,-0.2,0.39,38.46,13.54,0.89,15.26,-20.0,30.05
81,Company_81,Healthcare,Europe,5747.23,362.79,0.06,147.88,8.09,0.88,0.11,0.46,7318.6,1498.06,0.2,210.15,0.37,7.02,19.13,-0.89,84.45,1.34,0.02,0.79,1.27,464.95,15.74,0.05,298.65,39.5,54.63
82,Company_82,Technology,Middle East,5598.37,714.17,0.13,435.94,28.82,4.16,0.14,2.43,49618.67,18392.71,0.37,11150.66,7.51,5.76,0.77,-1.25,69.29,2.35,0.03,1.45,8.86,1613.45,30.75,1.3,23.59,48.33,82.51
83,Company_83,Healthcare,Oceania,3749.51,151.09,0.04,79.78,6.01,1.12,0.19,0.43,3866.51,477.79,0.12,13.48,2.97,5.32,1.79,-1.13,62.73,1.33,0.02,0.59,1.03,225.35,17.16,0.56,30.73,29.5,41.79
84,Company_84,Consumer Goods,Middle East,3340.29,430.94,0.13,226.93,10.45,2.64,0.25,-0.94,6870.81,2143.57,0.31,413.84,8.72,15.98,1.83,2.31,15.58,1.04,0.07,0.51,2.06,349.06,19.68,0.55,36.07,7.29,40.1
85,Company_85,Manufacturing,Asia,2081.67,89.28,0.04,41.27,3.89,1.45,0.37,0.08,1164.19,414.24,0.36,149.42,2.87,3.96,1.38,0.86,62.43,1.34,0.02,0.77,0.56,80.98,14.38,0.72,19.84,38.5,40.72
86,Company_86,Finance,Asia,3380.67,285.76,0.08,34.36,11.49,2.14,0.19,-1.01,5761.97,1703.35,0.3,-756.32,0.27,13.4,50.26,-2.06,49.37,0.69,0.01,0.02,1.7,388.44,14.83,0.02,736.19,2.0,49.92
87,Company_87,Technology,Oceania,53938.53,3660.45,0.07,541.1,17.49,3.06,0.17,-1.76,219394.17,54982.58,0.25,-5300.98,1.59,9.47,5.97,-1.94,76.93,0.61,0.01,-0.04,4.07,9433.85,23.26,0.17,138.51,-4.0,60.31
88,Company_88,Manufacturing,North America,1339.59,169.53,0.13,99.68,4.36,1.79,0.41,-0.9,707.37,371.02,0.52,-217.12,9.74,8.55,0.88,2.25,79.75,1.44,0.02,0.83,0.53,58.41,12.11,1.14,10.63,41.5,31.19
89,Company_89,Utilities,Europe,1559.36,181.88,0.12,34.23,13.78,2.13,0.15,0.3,2239.01,367.73,0.16,-213.83,0.07,14.71,200.61,-3.61,35.81,1.66,0.05,0.89,1.44,214.88,10.42,0.0,2189.65,17.8,55.27
90,Company_90,Energy,Africa,6805.43,623.59,0.09,380.98,0.39,7.41,19.16,4.15,8630.77,8866.14,1.03,-3964.24,5.44,4.44,0.82,-0.6,29.16,0.91,0.03,0.3,1.27,26.54,325.18,1.23,265.41,10.0,46.2
91,Company_91,Manufacturing,Europe,3190.83,369.62,0.12,-222.49,32.12,2.34,0.07,1.32,14565.31,4012.29,0.28,1164.52,-6.11,4.78,-0.78,0.2,65.03,0.62,0.01,-0.1,4.56,1024.89,14.21,-1.28,-11.12,-10.0,49.76
92,Company_92,Healthcare,Asia,2900.73,530.51,0.18,-320.65,22.92,3.93,0.17,2.1,11558.06,3367.44,0.29,-373.86,-5.96,11.52,-1.93,-1.98,36.33,1.14,0.03,0.55,3.98,664.85,17.38,-0.52,-33.6,18.33,50.0
93,Company_93,Retail,Latin America,524.33,63.08,0.12,-39.8,7.87,1.5,0.19,-0.38,786.13,366.56,0.47,-157.81,-7.74,3.1,-0.4,0.75,63.93,1.55,0.02,0.79,1.5,41.26,19.05,-2.5,-7.63,39.5,36.06
94,Company_94,Utilities,North America,322.35,21.45,0.07,-6.73,6.59,1.54,0.23,-0.92,241.91,91.84,0.38,-51.25,-3.11,7.8,-2.5,-1.22,55.81,1.86,0.03,0.95,0.75,21.24,11.39,-0.4,-28.56,31.67,23.99
95,Company_95,Retail,North America,1271.08,77.61,0.06,46.98,13.88,2.19,0.16,1.32,3235.63,872.92,0.27,486.38,3.65,3.54,0.97,-2.23,72.75,0.81,0.01,-0.5,2.55,176.43,18.34,1.03,17.79,-50.0,40.73
96,Company_96,Manufacturing,Middle East,1991.73,203.4,0.1,109.7,-0.67,2.86,-4.25,-1.16,4749.15,4233.39,0.89,2044.16,3.54,7.41,2.09,-2.22,76.3,0.92,0.01,-0.42,2.38,-13.34,-355.89,0.48,-744.95,-42.0,30.06
97,Company_97,Consumer Goods,Middle East,2099.22,286.78,0.14,176.79,9.91,1.89,0.19,-0.11,4670.37,1583.66,0.34,577.81,9.36,8.64,0.92,-3.0,34.78,1.77,0.05,1.05,2.22,208.03,22.45,1.08,20.72,21.0,49.45
98,Company_98,Energy,North America,17460.33,2794.03,0.16,1649.11,6.05,1.79,0.3,0.73,15860.33,5769.1,0.36,3171.5,11.52,8.21,0.71,4.32,45.56,2.64,0.06,1.65,0.91,1056.35,15.01,1.4,10.7,27.5,41.53
99,Company_99,Healthcare,Asia,8762.0,1120.71,0.13,685.02,4.81,3.52,0.73,2.08,9458.04,4846.13,0.51,806.79,7.72,5.91,0.77,-0.9,60.92,1.59,0.03,0.69,1.08,421.45,22.44,1.31,17.18,23.0,42.63
100,Company_100,Manufacturing,North America,1412.26,142.17,0.1,88.8,-7.75,1.41,-0.18,-0.44,3591.57,1624.99,0.45,51.31,6.91,3.8,0.55,-1.97,57.33,2.59,0.05,1.58,2.54,-109.45,-32.81,1.82,-18.05,31.6,31.43
101,Company_101,Energy,Oceania,3127.65,595.39,0.19,-370.33,-17.54,3.61,-0.21,-2.13,10125.98,3237.14,0.32,93.06,-11.77,5.05,-0.43,-1.01,65.11,1.39,0.02,0.64,3.24,-548.59,-18.46,-2.33,7.92,32.0,54.85
102,Company_102,Retail,Africa,1346.62,134.61,0.1,75.54,3.55,1.65,0.46,-0.76,670.85,281.84,0.42,-61.39,7.67,7.57,0.99,0.49,59.65,1.99,0.03,1.16,0.5,47.81,14.03,1.01,13.85,38.67,32.84
